Template URL,Name,Price,Creator
./plomeria/,Plomeria,$49,Sailr
./denzel-blog-magazine-website/,Denzel,$39,Marcframe
./sharpy/,Sharpy,Free,FramerBite
./bento-micro-portfolio/,BentoMicroPortfolio,$20,Frederik Roessell
./kings-portfolio/,Kingsportfolio,Free,Hamza Abdul
./agencify/,Agencify,$29,Muhammad Talha
./chamonix/,Chamonix ,$89,Ben Libor
./solide-cv/,SolideCV,$19,Solide CV â Resume Framer Template
./artistic/,Artistic,$29,KaÄan KurÅun
./moonlights/,Moonlights ,$89,Ben Libor
./studio-b/,StudioB,$49,ena supply
./livinplus-take-your-real-estate-business-to-the-next-level/,LivinPlus,$79,FL Plus
./prodige/,Prodige,$69,Frameless
./nextai/,NextAI,$39,Mark
./inpixels/,Inpixels,$15,Mohammad Shakeb
./moonlight/,Moonlight,$39,Cedric Moore
./apparel-ecommerce-template/,Apparel,$20,Samuel Nunez de Arco
./infra/,Infra,$49,Flingor
./newslettr/,Newslettr,Free,Julien Vier
./tripoli-real-estate-hotel-bnb-host-template/,Tripoli,$120,Raz Rashid
./finato/,Finato,$49,Sailr
./darko/,Darko,Free,Cristian Mielu
./sally-e-commerce-framer-template/,Sally ,$29,Selin Aydemir
./artix/,Artix,$19,Luis MartÃ­nez
./kolab-project-management-website-template/,Kolab,$39,Carendy Maydianta
./joyfolio/,Joyfolio,$19,Adam Kowalski
./meteora/,Meteora,Free,Goran Babarogic
./bare/,Bare,$29,Roy Quilor
./wefolio/,Wefolio,$28,Paresh Srichandan
./digital-designer-portfolio/,DesignerPortfolio,$39,Daniel JÃ¤gerskog
./swissagency/,SwissAgency,$49,Swiss Themes
./turbox/,Turbox,$49,FramerBite
./kirimo-creative-portfolio-website/,Kirimo,$39,Marcframe
./moonstone/,Moonstone,$20,Braydon Coyer
./feedo/,Feedo,Free,Cristian Mielu
